REG_NO,SURVEY_ID,created_us,created_da,last_edite,last_edi_1,PUBLISH,DATE,NAME,NUMBER,STREET1,STREET2,TLAND_NAME,TOWN,COUNTY_COD,COUNTY,LOCAL_AUTH,RPS,RMP,VALUE_DESC,ORIGINALTY,INUSETYPE,NIAH_SITE_
50010250,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Duffy’s Fabrics,27,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010250
50010251,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,The Earl Bakery and Restaurant,26,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010251
50010252,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Madigan’s Bar,25,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010252
50010253,SURV030,NIAH,20141008,NIAH,20141008,1,1905 - 1910,Boyer’s Department Store,19-22,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010253
50010257,SURV030,NIAH,20141008,NIAH,20141008,1,1810 - 1900,Bonavox Hearing Aids,9,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010257
50010258,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Nice Price,4,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010258
50010259,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1920,Zumo Juice Bar,3,Earl Street North,,,Dublin 1,DU,DUBLIN,South Dublin County Council,1,1,Regional,shop/retail outlet,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010259
50010260,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1930,Hot Wok Thai Noodle Bar,2,Earl Street North,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,restaurant,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010260
50010261,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,The Suit Co.,34,O'Connell Street Lower,Earl Street North,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010261
50010265,SURV030,NIAH,20141008,NIAH,20141008,1,1915 - 1925,Ladbrokes,14,Sackville Place,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,shop/retail outlet,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010265
