object_id,zone_orig,zone_gzt,zone_desc
104,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
105,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
106,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
107,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
108,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
109,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
110,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
111,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
112,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
113,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
114,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
115,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
116,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
117,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
118,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
119,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
120,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
121,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
122,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
123,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
124,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
125,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
126,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
127,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
128,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
129,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
130,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
131,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
132,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
